default	0001	321.3536491865477
default	0002	181.57122837182658
default	0004	79.05354347245063
default	0008	74.43334828743878
default	0016	82.60701255470119
default	0032	90.7669730231703
default	0064	95.00037875655744
default	0128	96.51530913369771
cosine	0001	321.35363740232617
cosine	0002	283.1993534399919
cosine	0004	214.61368617179272
cosine	0008	143.1371973904645
cosine	0016	160.7314133533216
cosine	0032	198.96977370666005
cosine	0064	223.64666285236095
cosine	0128	229.42385331115744
laplace	0001	358.42218421354653
laplace	0002	391.890104728355
laplace	0004	313.4245052608439
laplace	0008	294.794522590103
laplace	0016	299.6381765510503
laplace	0032	301.619722914996
laplace	0064	302.4527390475365
laplace	0128	302.7802876034611
cauchy	0001	364.74267540067376
cauchy	0002	367.33882756591976
cauchy	0004	348.78008925467964
cauchy	0008	344.53961151581325
cauchy	0016	332.51034462197657
cauchy	0032	323.7216029732833
cauchy	0064	318.4966139852834
cauchy	0128	316.4720849407802
exponential	0001	321.3536245233565
exponential	0002	268.8310187112701
exponential	0004	228.6375570986455
exponential	0008	211.3608576643586
exponential	0016	205.11516388694184
exponential	0032	204.6842097404895
exponential	0064	206.60944778816264
exponential	0128	207.65691274285248
quadratic	0001	321.3536042577934
quadratic	0002	336.9332564562074
quadratic	0004	292.5383743804624
quadratic	0008	273.0868664695554
quadratic	0016	267.7988321505533
quadratic	0032	267.08785929920913
quadratic	0064	267.7478411547763
quadratic	0128	268.4871398927847
