default	0001	255.36368943432382
default	0002	121.9033510818639
default	0004	74.74744907219704
default	0008	79.0229996905041
default	0016	82.46233376181631
default	0032	85.34312652064783
default	0064	85.54689533388219
default	0128	84.3108819364239
cosine	0001	255.363715921178
cosine	0002	233.04677239132508
cosine	0004	137.88830440659964
cosine	0008	118.8587392052226
cosine	0016	128.44416367051753
cosine	0032	140.9870634561968
cosine	0064	149.76887326183663
cosine	0128	155.4898497302977
exponential	0001	255.36371515757543
exponential	0002	266.11827309784206
exponential	0004	308.7980925706015
exponential	0008	338.3633597816356
exponential	0016	345.3790268374268
exponential	0032	349.16203655890064
exponential	0064	350.7869817112546
exponential	0128	351.620509653124
quadratic	0001	255.3636819561189
quadratic	0002	253.618249172929
quadratic	0004	171.0863458017629
quadratic	0008	149.51470715759177
quadratic	0016	162.4735984938785
quadratic	0032	176.9180265595652
quadratic	0064	186.65206998186142
quadratic	0128	192.89068324185968
